# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0.05            	-1.50781554e-08	8.28126644e+01	-2.69318009e-06	-1.36166820e-06	-1.33151189e-06
0.1             	-9.67861026e-09	-2.72739288e+01	8.71291368e-06	4.34677823e-06	4.36613545e-06
0.15            	-1.19105473e-08	6.89448131e+00	-5.94416731e-06	-2.98399420e-06	-2.96017311e-06
0.2             	-6.51664356e-09	4.67262235e+00	1.99783391e-06	9.92400312e-07	1.00543360e-06
0.25            	-4.88906207e-09	4.46007165e+00	-5.37946657e-07	-2.73862391e-07	-2.64084267e-07
0.3             	-3.49418669e-09	4.17701197e+00	1.11432673e-07	5.22221496e-08	5.92105230e-08
0.35            	-2.69798683e-09	3.93512186e+00	3.59607711e-08	1.52823987e-08	2.06783724e-08
0.4             	-2.24546621e-09	3.73621679e+00	1.27190475e-07	6.13497715e-08	6.58407039e-08
0.45            	-1.92464522e-09	3.57545085e+00	7.62827947e-09	1.88949452e-09	5.73878495e-09
0.5             	-1.68043016e-09	3.44369340e+00	4.11289525e-08	1.88840461e-08	2.22449064e-08
0.55            	-1.51846015e-09	3.33358046e+00	2.96648936e-08	1.33139867e-08	1.63509070e-08
0.6             	-1.28186556e-09	3.24007073e+00	-6.09485079e-09	-4.32929096e-09	-1.76555983e-09
0.65            	-1.07320786e-09	3.15971311e+00	-7.46764838e-08	-3.84114498e-08	-3.62650341e-08
0.7             	-8.41777320e-10	3.09001250e+00	-4.63910188e-08	-2.40372867e-08	-2.23537321e-08
0.75            	-6.25507467e-10	3.02908008e+00	-5.31905669e-08	-2.72207909e-08	-2.59697760e-08
0.8             	-4.18611880e-10	2.97544468e+00	-6.39078551e-08	-3.23725394e-08	-3.15353157e-08
0.85            	-2.13473631e-10	2.92794216e+00	-9.19014097e-08	-4.61641785e-08	-4.57372312e-08
0.9             	1.13275308e-11	2.88563978e+00	-1.17682570e-07	-5.88299573e-08	-5.88526123e-08
0.95            	2.63081165e-10	2.84778106e+00	-1.52673318e-07	-7.60735780e-08	-7.65997403e-08
1               	5.56030040e-10	2.81374615e+00	-1.87098425e-07	-9.29931825e-08	-9.41052426e-08
1.05            	6.77172160e-10	2.78302163e+00	-2.18060970e-07	-1.08353313e-07	-1.09707657e-07
1.1             	8.76704816e-10	2.75517909e+00	2.88993019e-07	1.45373214e-07	1.43619805e-07
1.15            	8.78372849e-10	2.72985715e+00	-7.96326572e-08	-3.89379557e-08	-4.06947014e-08
1.2             	9.13683664e-10	2.70674961e+00	9.92457885e-09	5.87597309e-09	4.04860576e-09
1.25            	9.38878272e-10	2.68559536e+00	1.40965711e-08	7.98716383e-09	6.10940728e-09
1.3             	9.66419927e-10	2.66616990e+00	6.60741588e-09	4.27012787e-09	2.33728801e-09
1.35            	1.01445162e-09	2.64827957e+00	6.02650182e-09	4.02770253e-09	1.99879929e-09
1.4             	1.06771448e-09	2.63175679e+00	3.53010724e-09	2.83276810e-09	6.97339143e-10
1.45            	1.12606097e-09	2.61645519e+00	1.81384840e-09	2.03298517e-09	-2.19136773e-10
1.5             	1.18924425e-09	2.60224700e+00	5.55269156e-10	1.46687882e-09	-9.11609668e-10
1.55            	1.25438326e-09	2.58901992e+00	-2.29508742e-09	1.06839547e-10	-2.40192697e-09
1.6             	1.31868635e-09	2.57667539e+00	-1.12217912e-08	-4.29220926e-09	-6.92958197e-09
1.65            	1.33133789e-09	2.56512602e+00	-4.95418877e-09	-1.14575650e-09	-3.80843228e-09
1.7             	1.34549461e-09	2.55429476e+00	-3.48808632e-09	-3.98548551e-10	-3.08953777e-09
1.75            	1.37121994e-09	2.54411300e+00	-2.51582649e-09	1.13306691e-10	-2.62913318e-09
1.8             	1.40690389e-09	2.53451966e+00	-1.82812762e-09	4.92840084e-10	-2.32096770e-09
1.85            	1.45001805e-09	2.52546036e+00	1.44632813e-10	1.52233446e-09	-1.37770165e-09
1.9             	1.49776277e-09	2.51688645e+00	6.57404699e-10	1.82646512e-09	-1.16906042e-09
1.95            	1.54931773e-09	2.50875447e+00	2.61596533e-09	2.85730039e-09	-2.41335060e-10
