# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.05            	((7.38731507e+01 -2.71857090e-06 -5.34311981e-20) (8.93951366e+00 2.53908099e-08 -8.45316118e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.38962610e-20 -3.18153283e-19 5.88532695e-13) (-6.45328551e-19 2.35433216e-21 -1.50787439e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.1             	((-3.10126797e+01 8.53071080e-06 3.83701969e-20) (3.73875091e+00 1.82202872e-07 1.58251800e-21) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.66504728e-20 1.32599385e-19 5.36420734e-13) (-4.46914798e-19 -1.30878011e-21 -9.67914668e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.15            	((4.24575707e+00 -5.99738624e-06 6.62067574e-21) (2.64872424e+00 5.32189285e-08 -2.22950741e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.03654551e-21 -1.82384376e-20 -8.97692294e-16) (-1.93869521e-20 1.98743319e-22 -1.19105464e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.2             	((2.29907485e+00 1.95854622e-06 9.68408133e-21) (2.37354750e+00 3.92876872e-08 1.98860379e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.35315714e-20 -1.00967205e-20 -4.05318140e-15) (-8.07394695e-20 -1.82670210e-22 -6.51663951e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.25            	((2.23515754e+00 -5.69982699e-07 9.36487206e-21) (2.22491411e+00 3.20360416e-08 2.84881650e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.32383242e-20 -9.79687378e-21 1.48121532e-14) (-1.00667359e-19 -2.28427774e-22 -4.88907689e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.3             	((2.09715065e+00 8.05621557e-08 9.30026668e-21) (2.07986132e+00 3.08705169e-08 2.72726115e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.48949512e-20 -9.22349274e-21 -9.66067504e-15) (-1.02674860e-19 -2.03765787e-22 -3.49417703e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.35            	((1.98730129e+00 1.07845955e-08 9.23531436e-21) (1.94782057e+00 2.51761756e-08 2.36380128e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.65851762e-20 -8.77186112e-21 2.69367861e-14) (-9.71481442e-20 -1.69211793e-22 -2.69801377e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.4             	((1.89880337e+00 1.02680412e-07 9.17531178e-21) (1.83741342e+00 2.45100633e-08 2.04216050e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.84004217e-20 -8.41283508e-21 -1.27518981e-14) (-9.13646948e-20 -1.41821952e-22 -2.24545346e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.45            	((1.82857042e+00 -1.47724248e-08 9.11540753e-21) (1.74688042e+00 2.24007043e-08 1.79082586e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.02783016e-20 -8.13237771e-21 7.00492182e-15) (-8.68772643e-20 -1.20779910e-22 -1.92465222e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.5             	((1.77212468e+00 2.00475408e-08 9.05575961e-21) (1.67156871e+00 2.10814117e-08 1.58695131e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.21773326e-20 -7.91095479e-21 -5.17164436e-16) (-8.34553132e-20 -1.03461705e-22 -1.68042964e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.55            	((1.72597494e+00 9.08608566e-09 8.99691669e-21) (1.60760552e+00 2.05788080e-08 1.41229816e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.40698407e-20 -7.73334420e-21 -8.70614345e-16) (-8.07052102e-20 -8.84168994e-23 -1.51845927e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.6             	((1.68770774e+00 -2.62183257e-08 8.93922346e-21) (1.55236299e+00 2.01234749e-08 1.25804865e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.59409017e-20 -7.58904177e-21 -3.65636341e-15) (-7.83970138e-20 -7.50297156e-23 -1.28186191e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.65            	((1.65564901e+00 -9.37790133e-08 8.88282319e-21) (1.50406410e+00 1.91025294e-08 1.11998053e-22) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.77828825e-20 -7.47079742e-21 -1.97293354e-14) (-7.64187396e-20 -6.30078618e-23 -1.07318814e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.7             	((1.62857915e+00 -6.50288598e-08 8.82770121e-21) (1.46143334e+00 1.86378409e-08 9.95538706e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.95922801e-20 -7.37336098e-21 -1.18706043e-14) (-7.47055508e-20 -5.21500971e-23 -8.41765449e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.75            	((1.60557490e+00 -7.18058058e-08 8.77389028e-21) (1.42350517e+00 1.86152389e-08 8.82838008e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.13673645e-20 -7.29277614e-21 -7.24604838e-15) (-7.32128292e-20 -4.22934512e-23 -6.25500221e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.8             	((1.58591830e+00 -8.24999690e-08 8.72136155e-21) (1.38952638e+00 1.85921139e-08 7.80275451e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.31075015e-20 -7.22598242e-21 -2.81632356e-15) (-7.19050523e-20 -3.33027066e-23 -4.18609064e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.85            	((1.56904271e+00 -1.10200158e-07 8.67008244e-21) (1.35889945e+00 1.82987482e-08 6.86531235e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.48126264e-20 -7.17057497e-21 2.25947733e-16) (-7.07534115e-20 -2.50667393e-23 -2.13473857e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.9             	((1.55449542e+00 -1.35805677e-07 8.62001180e-21) (1.33114436e+00 1.81231075e-08 6.00512676e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.64829734e-20 -7.12463958e-21 1.67389973e-15) (-6.97344113e-20 -1.74940746e-23 1.13258569e-11) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.95            	((1.54191018e+00 -1.70625246e-07 8.57110386e-21) (1.30587088e+00 1.79519282e-08 5.21308675e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.81188914e-20 -7.08663528e-21 2.17599376e-15) (-6.88293642e-20 -1.05082810e-23 2.63078989e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1               	((1.53098796e+00 -2.05027150e-07 8.52331357e-21) (1.28275819e+00 1.79287254e-08 4.48070606e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.97208317e-20 -7.05530821e-21 2.41310878e-15) (-6.80225435e-20 -4.03676113e-24 5.56027627e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.05            	((1.52148174e+00 -2.36088332e-07 8.47659449e-21) (1.26153988e+00 1.80273620e-08 3.80267862e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.12892237e-20 -7.02962420e-21 2.24245535e-15) (-6.73012807e-20 1.96368114e-24 6.77169917e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.1             	((1.51318657e+00 2.61036196e-07 8.43087952e-21) (1.24199252e+00 2.79568232e-08 3.17361696e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.28244980e-20 -7.00872801e-21 -2.17556008e-15) (-6.66553220e-20 7.53755574e-24 8.76706992e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.15            	((1.50593009e+00 -1.03225043e-07 8.38619180e-21) (1.22392706e+00 2.35923862e-08 2.58925243e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.43270615e-20 -6.99190519e-21 3.66622965e-15) (-6.60753323e-20 1.27207461e-23 8.78369183e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.2             	((1.49956709e+00 -1.13679304e-08 8.34242813e-21) (1.20718252e+00 2.12925093e-08 2.04567628e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.57971844e-20 -6.97854688e-21 2.94924675e-15) (-6.55546981e-20 1.75491288e-23 9.13680714e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.25            	((1.49397465e+00 -6.75271838e-09 8.29957908e-21) (1.19162071e+00 2.08492895e-08 1.53915409e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.72352312e-20 -6.96814940e-21 2.94068155e-15) (-6.50876366e-20 2.20521197e-23 9.38875332e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.3             	((1.48904765e+00 -1.40773093e-08 8.25760837e-21) (1.17712225e+00 2.06847252e-08 1.06650684e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.86414176e-20 -6.96027962e-21 3.07750787e-15) (-6.46674867e-20 2.62572799e-23 9.66416849e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.35            	((1.48469611e+00 -1.45517761e-08 8.21648330e-21) (1.16358346e+00 2.05782779e-08 6.25127652e-24) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.00159690e-20 -6.95456464e-21 2.97852021e-15) (-6.42905556e-20 3.01867282e-23 1.01444864e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
