# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.05            	p               	-2.12244253e+01	(1.03340804e+00 -4.06193460e-02 2.61053336e-17)	2.57275786e+01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.05            	U               	(2.56477001e-01 -3.56980527e-01 -7.76683833e-19)	(1.13417589e+00 3.19909089e-01 -3.28857625e-17)	(1.56383168e+00 -3.30442947e-02 6.42852886e-18)	(4.62739455e-02 1.17685237e+00 3.30045855e-17)
0.1             	p               	-1.01646741e+01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)	9.40274185e+00	(1.03340804e+00 -4.06193460e-02 2.61053336e-17)
0.1             	U               	(1.87508521e-01 -2.00894486e-01 -2.29872239e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.56120533e+00 2.72265905e-02 2.63711975e-18)	(4.62739455e-02 -1.17685237e+00 -3.30045855e-17)
0.15            	p               	-1.32039380e+00	(4.33038181e-01 -9.39341130e-01 1.35777088e-17)	1.89251187e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.15            	U               	(1.03397998e-01 -2.14514274e-01 -4.72318783e-19)	(1.06357317e+00 2.99983060e-01 0.00000000e+00)	(1.57063279e+00 -2.14180074e-02 2.18560605e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
0.2             	p               	-1.17526784e+00	(2.01798769e-01 1.01443079e+00 1.39798975e-17)	1.12621302e+00	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
0.2             	U               	(7.75958484e-02 -1.73783467e-01 -2.57927266e-19)	(1.06357317e+00 2.99983060e-01 0.00000000e+00)	(1.55107114e+00 -1.60898367e-02 2.10466577e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
0.25            	p               	-1.12665990e+00	(2.80771032e-01 -9.95500333e-01 -1.35833420e-17)	1.07779112e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.25            	U               	(6.54694449e-02 -1.46179421e-01 -2.72481704e-19)	(1.06357317e+00 2.99983060e-01 0.00000000e+00)	(1.48335624e+00 2.61900302e-01 6.43223926e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
0.3             	p               	-1.09519426e+00	(2.01798769e-01 -1.01443079e+00 -1.39798975e-17)	1.01773719e+00	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
0.3             	U               	(5.72062662e-02 -1.25997315e-01 -2.55192004e-19)	(1.06357317e+00 2.99983060e-01 0.00000000e+00)	(1.52361774e+00 -2.00777803e-03 1.96452823e-19)	(5.55685452e-02 1.41263523e+00 0.00000000e+00)
0.35            	p               	-1.07151146e+00	(2.01798769e-01 1.01443079e+00 1.39798975e-17)	9.72018446e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
0.35            	U               	(5.01450183e-02 -1.09969117e-01 -2.36325545e-19)	(1.06357317e+00 2.99983060e-01 0.00000000e+00)	(1.50658919e+00 5.08022493e-03 1.93487021e-19)	(5.55685452e-02 1.41263523e+00 0.00000000e+00)
0.4             	p               	-1.05146254e+00	(2.01798769e-01 1.01443079e+00 1.39798975e-17)	9.35408066e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
0.4             	U               	(4.39250897e-02 -9.65540401e-02 -2.19202275e-19)	(1.06357317e+00 2.99983060e-01 0.00000000e+00)	(1.49264421e+00 7.57819271e-02 4.06942100e-19)	(1.76335018e-01 -1.48871873e+00 0.00000000e+00)
0.45            	p               	-1.03393377e+00	(2.01798769e-01 -1.01443079e+00 -1.39798975e-17)	9.06142399e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
0.45            	U               	(7.28778320e-02 -1.34251668e-01 -3.06578273e-19)	(-9.39341130e-01 -4.33038181e-01 -1.43717227e-17)	(1.47134961e+00 1.89442011e-01 3.89688367e-19)	(-1.76335018e-01 1.48871873e+00 0.00000000e+00)
0.5             	p               	-1.01835150e+00	(2.01798769e-01 -1.01443079e+00 -1.39798975e-17)	8.82417345e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
0.5             	U               	(6.96739966e-02 -5.74573020e-02 -2.11314891e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.46147714e+00 1.95184053e-01 3.84536143e-19)	(-1.76335018e-01 1.48871873e+00 0.00000000e+00)
0.55            	p               	-1.00430944e+00	(2.01798769e-01 -1.01443079e+00 -1.39798975e-17)	8.62839729e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
