# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
5.00000000e-02	p              	-1.87722451e+01	(1.03340804e+00 -4.06193460e-02 2.61053336e-17)	2.21235846e+01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
5.00000000e-02	U              	(3.39924414e-01 -4.70845941e-01 1.05776608e-18)	(1.03680492e+00 3.82506484e-01 3.61940249e-17)	(1.69084313e+00 -1.28313880e-02 1.22083259e-17)	(4.62739455e-02 1.17685237e+00 3.30045855e-17)
1.00000000e-01	p              	-9.25190840e+00	(-1.10382177e+00 4.33950669e-02 0.00000000e+00)	8.72762977e+00	(1.03340804e+00 -4.06193460e-02 2.61053336e-17)
1.00000000e-01	U              	(5.97206196e-01 -3.84379653e-01 -4.62182800e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.75464163e+00 1.25005209e-01 3.36585464e-18)	(1.29896258e-01 -1.09718650e+00 2.46944736e-17)
1.50000000e-01	p              	-1.40018414e+00	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	1.07150996e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.50000000e-01	U              	(4.60700399e-01 -3.29545942e-01 -8.16109613e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.72721683e+00 8.90166392e-03 1.08055745e-18)	(4.33950669e-02 1.10382177e+00 0.00000000e+00)
2.00000000e-01	p              	-1.38402291e+00	(1.21582604e-01 1.02709283e+00 2.64491183e-17)	8.73115740e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
2.00000000e-01	U              	(3.75890018e-01 -2.79023444e-01 -8.59423049e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.70116341e+00 -1.13908522e-01 9.71600558e-19)	(1.38518882e-01 1.16988515e+00 -4.34292794e-17)
2.50000000e-01	p              	-1.33936638e+00	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	8.30443643e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.50000000e-01	U              	(3.14855497e-01 -2.36044023e-01 -8.52354858e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.69205024e+00 -1.10347481e-01 9.32829681e-19)	(1.38518882e-01 1.16988515e+00 -4.34292794e-17)
3.00000000e-01	p              	-1.30028042e+00	(1.21582604e-01 -1.02709283e+00 -2.64491183e-17)	7.86175290e-01	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)
