#     Source : patch out
#     Faces  : 80
#     Area   : 4.00000000e+01
#          Time	sum(phi)
5.00000000e-02	4.00000032e+01
1.00000000e-01	3.99999986e+01
1.50000000e-01	3.99999997e+01
2.00000000e-01	3.99999999e+01
2.50000000e-01	4.00000000e+01
3.00000000e-01	4.00000000e+01
3.50000000e-01	4.00000000e+01
4.00000000e-01	4.00000000e+01
4.50000000e-01	4.00000000e+01
5.00000000e-01	4.00000000e+01
5.50000000e-01	4.00000000e+01
6.00000000e-01	4.00000000e+01
6.50000000e-01	4.00000000e+01
7.00000000e-01	4.00000000e+01
7.50000000e-01	4.00000000e+01
8.00000000e-01	4.00000000e+01
8.50000000e-01	4.00000000e+01
9.00000000e-01	4.00000000e+01
9.50000000e-01	4.00000000e+01
1.00000000e+00	4.00000000e+01
1.05000000e+00	4.00000000e+01
1.10000000e+00	4.00000000e+01
1.15000000e+00	4.00000000e+01
1.20000000e+00	4.00000000e+01
1.25000000e+00	4.00000000e+01
1.30000000e+00	4.00000000e+01
1.35000000e+00	4.00000000e+01
1.40000000e+00	4.00000000e+01
1.45000000e+00	4.00000000e+01
1.50000000e+00	4.00000000e+01
1.55000000e+00	4.00000000e+01
1.60000000e+00	4.00000000e+01
1.65000000e+00	4.00000000e+01
1.70000000e+00	4.00000000e+01
1.75000000e+00	4.00000000e+01
1.80000000e+00	4.00000000e+01
1.85000000e+00	4.00000000e+01
1.90000000e+00	4.00000000e+01
1.95000000e+00	4.00000000e+01
2.00000000e+00	4.00000000e+01
2.05000000e+00	4.00000000e+01
2.10000000e+00	4.00000000e+01
2.15000000e+00	4.00000000e+01
2.20000000e+00	4.00000000e+01
2.25000000e+00	4.00000000e+01
2.30000000e+00	4.00000000e+01
2.35000000e+00	4.00000000e+01
2.40000000e+00	4.00000000e+01
2.45000000e+00	4.00000000e+01
2.50000000e+00	4.00000000e+01
2.55000000e+00	4.00000000e+01
2.60000000e+00	4.00000000e+01
2.65000000e+00	4.00000000e+01
2.70000000e+00	4.00000000e+01
