# Region type : patch inlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	sum(phi)
           0.05	-6.98355014e-04
            0.1	-1.41492027e-03
           0.15	-2.11570693e-03
            0.2	-2.80497774e-03
           0.25	-3.48410764e-03
            0.3	-4.15347743e-03
           0.35	-4.81411085e-03
            0.4	-5.46640149e-03
           0.45	-6.11094636e-03
            0.5	-6.74807338e-03
           0.55	-7.37818081e-03
            0.6	-8.00173866e-03
           0.65	-8.61899789e-03
            0.7	-9.23022173e-03
           0.75	-9.83566711e-03
            0.8	-1.04355645e-02
           0.85	-1.10301412e-02
            0.9	-1.16197083e-02
           0.95	-1.22040810e-02
              1	-1.27837146e-02
           1.05	-1.33584995e-02
            1.1	-1.39289669e-02
           1.15	-1.44947982e-02
            1.2	-1.50563241e-02
           1.25	-1.56138389e-02
            1.3	-1.61670195e-02
           1.35	-1.67161783e-02
            1.4	-1.72616002e-02
           1.45	-1.78029452e-02
            1.5	-1.83405265e-02
           1.55	-1.88745809e-02
            1.6	-1.94047757e-02
           1.65	-1.99314193e-02
            1.7	-2.04547125e-02
           1.75	-2.09743319e-02
            1.8	-2.14905853e-02
           1.85	-2.20036345e-02
            1.9	-2.25131717e-02
           1.95	-2.30195044e-02
              2	-2.35227569e-02
           2.05	-2.40226407e-02
            2.1	-2.45194629e-02
           2.15	-2.50132350e-02
            2.2	-2.55039178e-02
           2.25	-2.59915947e-02
            2.3	-2.64762983e-02
           2.35	-2.69580556e-02
            2.4	-2.74369014e-02
           2.45	-2.79128681e-02
            2.5	-2.83859867e-02
           2.55	-2.88562877e-02
            2.6	-2.93238004e-02
           2.65	-2.97885532e-02
            2.7	-3.02505737e-02
           2.75	-3.07098888e-02
            2.8	-3.11665246e-02
           2.85	-3.16205063e-02
            2.9	-3.20718588e-02
           2.95	-3.25206059e-02
              3	-3.29667713e-02
           3.05	-3.34103776e-02
            3.1	-3.38514473e-02
           3.15	-3.42900021e-02
            3.2	-3.47260632e-02
           3.25	-3.51596514e-02
            3.3	-3.55907871e-02
