# Region type : patch inlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
           0.05	-6.98355014e-05	(7.88470438e-03 3.06648196e-11 0.00000000e+00)	1.53103000e+00
            0.1	-1.41492027e-04	(1.46510061e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           0.15	-2.11570693e-04	(2.19074075e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            0.2	-2.80497774e-04	(2.90445664e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           0.25	-3.48410764e-04	(3.60767197e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            0.3	-4.15347743e-04	(4.30078104e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           0.35	-4.81411085e-04	(4.98484391e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            0.4	-5.46640149e-04	(5.66026812e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           0.45	-6.11094636e-04	(6.32767186e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            0.5	-6.74807338e-04	(6.98739468e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           0.55	-7.37818081e-04	(7.63984895e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            0.6	-8.00173866e-04	(8.28552135e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           0.65	-8.61899789e-04	(8.92467176e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            0.7	-9.23022173e-04	(9.55757273e-02 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           0.75	-9.83566711e-04	(1.01844903e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            0.8	-1.04355645e-03	(1.08056632e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           0.85	-1.10301412e-03	(1.14213266e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            0.9	-1.16197083e-03	(1.20318028e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           0.95	-1.22040810e-03	(1.26369003e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
              1	-1.27837146e-03	(1.32370907e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.05	-1.33584995e-03	(1.38322604e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            1.1	-1.39289669e-03	(1.44229595e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.15	-1.44947982e-03	(1.50088580e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            1.2	-1.50563241e-03	(1.55902985e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.25	-1.56138389e-03	(1.61675857e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            1.3	-1.61670195e-03	(1.67403849e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.35	-1.67161783e-03	(1.73090197e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            1.4	-1.72616002e-03	(1.78737851e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.45	-1.78029452e-03	(1.84343290e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            1.5	-1.83405265e-03	(1.89909756e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.55	-1.88745809e-03	(1.95439703e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            1.6	-1.94047757e-03	(2.00929686e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.65	-1.99314193e-03	(2.06382897e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            1.7	-2.04547125e-03	(2.11801416e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.75	-2.09743319e-03	(2.17181893e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            1.8	-2.14905853e-03	(2.22527516e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.85	-2.20036345e-03	(2.27839962e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            1.9	-2.25131717e-03	(2.33116042e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           1.95	-2.30195044e-03	(2.38358941e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
              2	-2.35227569e-03	(2.43569946e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.05	-2.40226407e-03	(2.48746067e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            2.1	-2.45194629e-03	(2.53890488e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.15	-2.50132350e-03	(2.59003326e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            2.2	-2.55039178e-03	(2.64084176e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.25	-2.59915947e-03	(2.69133900e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            2.3	-2.64762983e-03	(2.74152836e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.35	-2.69580556e-03	(2.79141265e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            2.4	-2.74369014e-03	(2.84099547e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.45	-2.79128681e-03	(2.89028016e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            2.5	-2.83859867e-03	(2.93926994e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.55	-2.88562877e-03	(2.98796797e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            2.6	-2.93238004e-03	(3.03637727e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.65	-2.97885532e-03	(3.08450081e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            2.7	-3.02505737e-03	(3.13234142e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.75	-3.07098888e-03	(3.17990190e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            2.8	-3.11665246e-03	(3.22718494e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.85	-3.16205063e-03	(3.27419317e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            2.9	-3.20718588e-03	(3.32092914e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           2.95	-3.25206059e-03	(3.36739534e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
              3	-3.29667713e-03	(3.41359421e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           3.05	-3.34103776e-03	(3.45952810e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            3.1	-3.38514473e-03	(3.50519933e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           3.15	-3.42900021e-03	(3.55061015e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            3.2	-3.47260632e-03	(3.59576275e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           3.25	-3.51596514e-03	(3.64065930e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            3.3	-3.55907871e-03	(3.68530190e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           3.35	-3.60194901e-03	(3.72969260e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
            3.4	-3.64457800e-03	(3.77383343e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
           3.45	-3.68696757e-03	(3.81772635e-01 0.00000000e+00 0.00000000e+00)	1.53103000e+00
