# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
0.05           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.71822030e+00	(2.49603207e-01 -4.82874783e-02 5.00000000e-02)
0.05           	U              	(-5.93393789e-03 -2.13938999e-03 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(7.29310019e-03 8.12875818e-10 2.16192678e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.1            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.1            	U              	(1.04335111e-03 -2.67767845e-03 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.50127190e-02 -3.46682379e-09 1.84143908e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.15           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.15           	U              	(7.82816899e-03 -2.43459107e-03 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.26745977e-02 1.57391732e-09 1.89067362e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.2            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.2            	U              	(1.45691764e-02 -2.11251125e-03 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(3.03372901e-02 -3.97578191e-10 1.88074196e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.25           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.25           	U              	(2.07934322e-02 -1.78591796e-03 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(3.79971161e-02 1.89913682e-11 1.88200146e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.3            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.3            	U              	(2.65418599e-02 -1.48832143e-03 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(4.56563301e-02 4.44503838e-10 1.88164439e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.35           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.35           	U              	(3.18467714e-02 -1.22677208e-03 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(5.33146434e-02 -1.95180023e-11 1.88158919e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.4            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.4            	U              	(3.67565312e-02 -1.00059834e-03 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(6.09721899e-02 -1.13858501e-10 1.88157069e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.45           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.45           	U              	(4.13193048e-02 -8.06520740e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(6.86286250e-02 4.04390716e-11 1.88151877e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.5            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.5            	U              	(4.55777154e-02 -6.40586000e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(7.62837875e-02 5.15476385e-11 1.88151599e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.55           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.55           	U              	(4.95681516e-02 -4.98902072e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(8.39372071e-02 2.45370651e-11 1.88146862e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.6            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
0.6            	U              	(5.33233233e-02 -3.77295560e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(9.15884601e-02 -4.12545294e-11 1.88142322e-33)	(4.04357195e+00 -4.82874783e-02 5.00000000e-02)
0.65           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
