# Region type : patch outlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	sum(phi)
           0.05	6.98342983e-04
            0.1	1.41505782e-03
           0.15	2.11564182e-03
            0.2	2.80504219e-03
           0.25	3.48402267e-03
            0.3	4.15348785e-03
           0.35	4.81407521e-03
            0.4	5.46637905e-03
           0.45	6.11088524e-03
            0.5	6.74804930e-03
           0.55	7.37824791e-03
            0.6	8.00182846e-03
           0.65	8.61910261e-03
            0.7	9.23034914e-03
           0.75	9.83581847e-03
            0.8	1.04357367e-02
           0.85	1.10303090e-02
            0.9	1.16197120e-02
           0.95	1.22041366e-02
              1	1.27837290e-02
           1.05	1.33586387e-02
            1.1	1.39289783e-02
           1.15	1.44948923e-02
            1.2	1.50564885e-02
           1.25	1.56138516e-02
            1.3	1.61671067e-02
           1.35	1.67163405e-02
            1.4	1.72616155e-02
           1.45	1.78030402e-02
            1.5	1.83406843e-02
           1.55	1.88745964e-02
            1.6	1.94048729e-02
           1.65	1.99315712e-02
            1.7	2.04547288e-02
           1.75	2.09744325e-02
            1.8	2.14907301e-02
           1.85	2.20036510e-02
            1.9	2.25132747e-02
           1.95	2.30196410e-02
              2	2.35227734e-02
           2.05	2.40227454e-02
            2.1	2.45195902e-02
           2.15	2.50133384e-02
            2.2	2.55040321e-02
           2.25	2.59917102e-02
            2.3	2.64764090e-02
           2.35	2.69581633e-02
            2.4	2.74370062e-02
           2.45	2.79129698e-02
            2.5	2.83860855e-02
           2.55	2.88563835e-02
            2.6	2.93238933e-02
           2.65	2.97886432e-02
            2.7	3.02506610e-02
           2.75	3.07099733e-02
            2.8	3.11666063e-02
           2.85	3.16205853e-02
            2.9	3.20719351e-02
           2.95	3.25206797e-02
              3	3.29668424e-02
           3.05	3.34104463e-02
            3.1	3.38515135e-02
           3.15	3.42900659e-02
            3.2	3.47261248e-02
           3.25	3.51597108e-02
            3.3	3.55908443e-02
           3.35	3.60195453e-02
            3.4	3.64458331e-02
           3.45	3.68697269e-02
            3.5	3.72912453e-02
           3.55	3.77104066e-02
            3.6	3.81272287e-02
           3.65	3.85417294e-02
            3.7	3.89539258e-02
           3.75	3.93638350e-02
            3.8	3.97714736e-02
           3.85	4.01768579e-02
            3.9	4.05800042e-02
           3.95	4.09809282e-02
              4	4.13796455e-02
           4.05	4.17761714e-02
            4.1	4.21705211e-02
           4.15	4.25627093e-02
            4.2	4.29527508e-02
           4.25	4.33406600e-02
            4.3	4.37264510e-02
           4.35	4.41101379e-02
            4.4	4.44917345e-02
           4.45	4.48712544e-02
            4.5	4.52487112e-02
           4.55	4.56241181e-02
            4.6	4.59974882e-02
           4.65	4.63688344e-02
            4.7	4.67381697e-02
           4.75	4.71055065e-02
            4.8	4.74708574e-02
           4.85	4.78342347e-02
