# Region type : patch outlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	max(U)	max(p)
           0.05	(7.37270218e-03 1.35235842e-06 0.00000000e+00)	0.00000000e+00
            0.1	(1.50664206e-02 7.10020720e-07 0.00000000e+00)	0.00000000e+00
           0.15	(2.27237264e-02 1.04221871e-06 0.00000000e+00)	0.00000000e+00
            0.2	(3.03796957e-02 1.20330128e-06 0.00000000e+00)	0.00000000e+00
           0.25	(3.80341324e-02 1.31391323e-06 0.00000000e+00)	0.00000000e+00
            0.3	(4.56885231e-02 1.37677953e-06 0.00000000e+00)	0.00000000e+00
           0.35	(5.33426248e-02 1.40212012e-06 0.00000000e+00)	0.00000000e+00
            0.4	(6.09964863e-02 1.39907387e-06 0.00000000e+00)	0.00000000e+00
           0.45	(6.86496837e-02 1.37476685e-06 0.00000000e+00)	0.00000000e+00
            0.5	(7.63020269e-02 1.33394925e-06 0.00000000e+00)	0.00000000e+00
           0.55	(8.39529726e-02 1.28189014e-06 0.00000000e+00)	0.00000000e+00
            0.6	(9.16020717e-02 1.22156512e-06 0.00000000e+00)	0.00000000e+00
           0.65	(9.92488467e-02 1.15563304e-06 0.00000000e+00)	0.00000000e+00
            0.7	(1.06892771e-01 1.08628158e-06 0.00000000e+00)	0.00000000e+00
           0.75	(1.14533277e-01 1.01517279e-06 0.00000000e+00)	0.00000000e+00
            0.8	(1.22169764e-01 9.43538159e-07 0.00000000e+00)	0.00000000e+00
           0.85	(1.29801602e-01 8.72341761e-07 0.00000000e+00)	0.00000000e+00
            0.9	(1.37428035e-01 8.02456145e-07 0.00000000e+00)	0.00000000e+00
           0.95	(1.45048596e-01 7.34100014e-07 0.00000000e+00)	0.00000000e+00
              1	(1.52662493e-01 6.68192658e-07 0.00000000e+00)	0.00000000e+00
           1.05	(1.60269080e-01 6.04834528e-07 0.00000000e+00)	0.00000000e+00
            1.1	(1.67867432e-01 5.44739011e-07 0.00000000e+00)	0.00000000e+00
           1.15	(1.75457046e-01 4.87750096e-07 0.00000000e+00)	0.00000000e+00
            1.2	(1.83037137e-01 4.42004886e-07 0.00000000e+00)	0.00000000e+00
           1.25	(1.90606747e-01 3.97873907e-07 0.00000000e+00)	0.00000000e+00
            1.3	(1.98165412e-01 3.55222321e-07 0.00000000e+00)	0.00000000e+00
           1.35	(2.05712351e-01 3.14173691e-07 0.00000000e+00)	0.00000000e+00
